slice,window,n,years,meanProbabilityA,observedWinRateA,calibrationResidualA,meanFavoriteProbability,accuracy,favoriteResidual,favoriteResidualNaiveSE,logloss,brier,lossContribution
"favorite_probability:[0.5,0.6)",tune,8465,10,0.5018511397644398,0.5104548139397519,0.008603674175312001,0.549297655914193,0.5410513880685174,-0.0082462678456755,0.005413751076035829,0.6894218927880112,0.24813684377057688,0.21780832732889885
"favorite_probability:[0.5,0.6)",2010,724,1,0.5031046145824772,0.5124309392265194,0.009326324644042093,0.5524519820921299,0.56353591160221,0.011083929510080078,0.018355855941922024,0.6805180394175112,0.24372862793509398,0.01838826082474726
"favorite_probability:[0.5,0.6)",2011,732,1,0.5006363256633559,0.4959016393442623,-0.0047346863190936605,0.5504490811197873,0.5532786885245902,0.002829607404802903,0.018482799798671283,0.6926451009184437,0.2497277590968302,0.018922751879984354
"favorite_probability:[0.5,0.6)",2012,833,1,0.49847636593491795,0.4921968787515006,-0.006279487183417322,0.5482490604728617,0.5306122448979592,-0.017636815574902504,0.017262361457500645,0.689623909401138,0.24823800767400706,0.021439752053860863
"favorite_probability:[0.5,0.6)",2013,721,1,0.5009488121839676,0.5090152565880721,0.008066444404104528,0.5478646377127425,0.5048543689320388,-0.04301026878070365,0.01856098364160561,0.692949259147899,0.24989716511623303,0.01864657818338565
"favorite_probability:[0.5,0.6)",2014,733,1,0.5024460723696669,0.5170532060027285,0.014607133633061646,0.547024666529928,0.548431105047749,0.001406438517820922,0.018401287149233756,0.6888690264215794,0.2478625719932469,0.018845301051243477
"favorite_probability:[0.5,0.6)",2015,911,1,0.5016259311657298,0.4961580680570801,-0.0054678631086497505,0.5500648845412588,0.5246981339187706,-0.025366750622488256,0.016567201729891925,0.694012198708325,0.2504131496117734,0.023596518363188924
"favorite_probability:[0.5,0.6)",2016,991,1,0.5025457606824311,0.5186680121089808,0.016122251426549748,0.5490900181661111,0.5438950554994955,-0.005194962666615632,0.015838138163159324,0.689881410009836,0.24836514190767814,0.02551587957452219
"favorite_probability:[0.5,0.6)",2017,943,1,0.5006874536211582,0.5121951219512195,0.011507668330061392,0.5491128316567345,0.5577942735949099,0.008681441938175235,0.016168608747824345,0.6858054876833495,0.24633668956161503,0.02413654455793829
"favorite_probability:[0.5,0.6)",2018,1007,1,0.5044618966411993,0.5342601787487586,0.029798282107559384,0.5494382527490307,0.5372393247269116,-0.012198928022119113,0.01571162832458843,0.6901327084006899,0.24848521004255833,0.0259372858609948
"favorite_probability:[0.5,0.6)",2019,870,1,0.5029919752834388,0.5103448275862069,0.0073528523027680676,0.5492812696296102,0.5459770114942529,-0.003304258135357295,0.016894566973178034,0.6892357663312775,0.24804645382235618,0.022379454979033046
"favorite_probability:[0.6,0.7)",tune,7382,10,0.5030767150479571,0.5021674342996478,-0.0009092807483092869,0.6485783339210275,0.6547006231373611,0.006122289216333699,0.005523384465495581,0.6426048792721574,0.22521537673934505,0.17704371197981136
"favorite_probability:[0.6,0.7)",2010,726,1,0.5020532989664839,0.5206611570247934,0.018607858058309546,0.6481433534513735,0.6652892561983471,0.01714590274697354,0.017477531054830908,0.6353357254590151,0.22175544851612825,0.017214814386924123
