signal,year,band,n,meanFeature,predicted,observed,residual,moment,momentSE
surface_recent_diff,2016,zero,598,0.0,0.5113888819175832,0.5066889632107023,-0.004699918706880891,0.0,0.0
surface_recent_diff,2016,"[-1000000000.0,-0.6931471805599453)",390,-1.3147150519421416,0.3553144872453138,0.3076923076923077,-0.04762217955300606,0.07615675096688014,0.028835433084180934
surface_recent_diff,2016,"[-0.6931471805599453,0)",687,-0.3954360393399815,0.4647021002078704,0.4512372634643377,-0.01346483674353273,0.002421162475554315,0.007565746772069848
surface_recent_diff,2016,"[0,0.6931471805599453)",620,0.37013778878571557,0.5609006085500161,0.5838709677419355,0.022970359191919393,0.012232489747253831,0.007522529885153622
surface_recent_diff,2016,"[0.6931471805599453,1000000000.0)",517,1.1419864780740525,0.6432467404952202,0.6595744680851063,0.016327727589886137,0.02271070666299457,0.0224658325748143
surface_recent_diff,2017,all,2708,0.05466593591869218,0.5162477987319998,0.517725258493353,0.0014774597613532818,-0.00578171687884135,0.006380872975064502
surface_recent_diff,2017,zero,571,0.0,0.5029040728156464,0.5043782837127846,0.00147421089713815,0.0,0.0
surface_recent_diff,2017,"[-1000000000.0,-0.6931471805599453)",340,-1.229985119161054,0.3539614793393444,0.3911764705882353,0.03721499124889085,-0.0434330261842354,0.02987522778056878
surface_recent_diff,2017,"[-0.6931471805599453,0)",651,-0.40563812323724746,0.4476273562366758,0.4377880184331797,-0.009839337803496108,0.0023941238062295833,0.00798898232519698
surface_recent_diff,2017,"[0,0.6931471805599453)",636,0.3722686835066571,0.5756904910409466,0.5738993710691824,-0.0017911199717641454,-0.0025544574365383007,0.007630210665766795
surface_recent_diff,2017,"[0.6931471805599453,1000000000.0)",510,1.1637996676466489,0.6528418611784825,0.6490196078431373,-0.003822253335345349,-0.0016149021048616475,0.023594569801590037
surface_recent_diff,2018,all,2746,0.04442888257309672,0.5110607409162002,0.5214857975236707,0.010425056607470581,0.015554896516148536,0.006236917229424804
surface_recent_diff,2018,zero,641,0.0,0.5193568373378697,0.516380655226209,-0.0029761821116606876,0.0,0.0
surface_recent_diff,2018,"[-1000000000.0,-0.6931471805599453)",343,-1.2603340494943385,0.35046443320079823,0.2944606413994169,-0.05600379180138127,0.06568064769833004,0.028526929263218644
surface_recent_diff,2018,"[-0.6931471805599453,0)",668,-0.41111602915271106,0.45091141664732115,0.4880239520958084,0.037112535448487194,-0.020028753177763252,0.008299675945782561
surface_recent_diff,2018,"[0,0.6931471805599453)",566,0.36665474716856494,0.5580284553934886,0.5565371024734982,-0.0014913529199903257,0.0036292157641852818,0.008179952995776106
